Vertices,Comparisons(sparse),Duration(sparse),Comparisons(dense),Duration(dense)
2,2,0,2,0
3,5,0,6,0
4,8,0.001,10,0.001
5,9,0.001,12,0.001
6,13,0.002,21,0.002
7,15,0.003,20,0.003
8,18,0.004,28,0.004
9,20,0.005,30,0.005
10,24,0.01,34,0.01
11,28,0.008,43,0.008
12,30,0.009,41,0.01
13,32,0.011,48,0.011
14,37,0.013,57,0.013
15,39,0.014,64,0.015
16,40,0.017,70,0.017
17,46,0.015,72,0.016
18,49,0.017,79,0.019
19,50,0.019,92,0.021
20,53,0.022,88,0.023
21,57,0.024,107,0.025
22,56,0.026,106,0.027
23,63,0.029,107,0.03
24,66,0.031,127,0.033
25,68,0.034,143,0.036
26,72,0.037,124,0.039
27,76,0.039,142,0.042
28,77,0.04,170,0.043
29,81,0.043,159,0.046
30,82,0.046,171,0.05
31,87,0.049,163,0.053
32,90,0.054,164,0.058
33,91,0.057,175,0.061
34,98,0.059,183,0.064
35,97,0.064,191,0.068
36,100,0.069,209,0.125
37,104,0.081,211,0.118
38,106,0.12,209,0.12
39,111,0.069,213,0.079
40,113,0.077,203,0.082
41,118,0.08,226,0.084
42,119,0.087,268,0.094
43,123,0.094,237,0.1
44,126,0.097,249,0.103
45,129,0.098,243,0.103
46,131,0.101,288,0.111
47,133,0.107,281,0.113
48,138,0.117,276,0.124
49,139,0.121,317,0.133
50,143,0.126,309,0.134
51,148,0.128,317,0.139
52,148,0.131,315,0.14
53,152,0.136,319,0.147
54,154,0.142,325,0.153
55,159,0.151,325,0.161
56,163,0.159,307,0.169
57,162,0.164,318,0.175
58,167,0.165,360,0.184
59,170,0.178,369,0.188
60,172,0.183,338,0.226
61,174,0.233,412,0.186
62,177,0.175,387,0.187
63,182,0.197,403,0.219
64,185,0.299,403,0.233
65,189,0.673,415,0.273
66,191,0.481,422,0.298
67,196,0.244,452,0.251
68,197,0.251,415,0.262
69,201,0.243,480,0.283
70,197,0.258,415,0.271
71,209,0.256,487,0.284
72,211,0.258,493,0.279
73,212,0.272,494,0.288
74,215,0.277,491,0.298
75,216,0.272,460,0.311
76,218,0.303,486,0.316
77,223,0.291,463,0.316
78,227,0.304,500,0.322
79,231,0.303,475,0.44
80,231,0.377,476,0.315
81,235,0.308,626,0.339
82,240,0.34,514,0.335
83,240,0.326,512,0.363
84,244,0.347,555,0.369
85,248,0.357,548,0.445
86,249,0.947,529,0.733
87,251,0.456,567,0.612
88,256,0.589,629,0.499
89,261,0.404,594,0.431
90,264,0.406,595,0.428
91,266,0.424,613,0.437
92,265,0.434,554,0.466
93,272,0.484,599,0.476
94,275,0.428,615,0.447
95,277,0.454,559,0.48
96,277,0.459,578,0.495
97,280,0.457,601,0.477
98,286,0.457,601,0.478
99,288,0.474,660,0.581
100,294,0.823,640,0.591
101,294,0.658,678,0.845
102,298,0.804,605,0.673
103,297,0.571,664,0.616
104,306,0.877,668,0.868
105,307,0.695,652,0.603
106,310,0.573,746,0.597
107,310,0.582,709,0.597
108,311,0.57,643,0.622
109,318,0.568,737,0.609
110,323,0.698,728,0.93
111,326,0.931,780,0.75
112,327,0.611,748,0.932
113,327,0.68,738,0.668
114,333,0.76,721,0.682
115,337,0.642,814,0.702
116,341,0.661,850,0.717
117,344,0.668,775,0.713
118,345,0.677,817,0.72
119,350,0.678,747,0.867
120,355,1.034,795,0.855
121,355,0.738,770,1.099
122,357,0.831,787,0.788
123,363,0.75,741,0.788
124,363,0.755,804,0.793
125,366,0.77,848,0.808
126,370,0.782,823,0.857
127,372,0.778,791,0.837
128,377,1.409,905,0.987
129,381,0.824,884,1.299
130,380,0.838,892,0.888
131,386,0.803,916,0.919
132,386,0.85,854,0.945
133,393,0.849,907,0.917
134,395,0.877,940,1.003
135,397,1.047,781,1.816
136,402,0.954,885,1.213
137,403,1.056,909,0.993
138,405,0.954,903,0.992
139,409,0.946,904,1.001
140,413,0.938,931,1.038
141,417,0.95,866,1.154
142,418,1.318,897,1.137
143,419,1.505,945,1.208
144,424,0.994,917,1.097
145,427,1.018,865,1.106
146,426,1.124,1056,1.279
147,435,1.081,973,1.137
148,434,2.056,918,1.275
149,438,1.325,950,1.998
150,439,1.325,1040,1.181
151,445,1.132,1042,1.16
152,447,1.163,1127,1.207
153,450,1.523,1001,1.245
154,455,1.144,994,1.243
155,459,1.231,988,1.25
156,460,1.198,1064,1.278
157,461,1.237,1003,1.28
158,469,1.211,999,1.807
159,466,1.271,1024,1.395
160,465,1.257,1113,1.431
161,476,1.284,984,1.394
162,479,1.286,1145,1.37
163,479,1.4,1048,2.196
164,483,1.35,1030,1.381
165,490,1.347,1145,1.453
166,488,1.478,1104,1.534
167,492,1.36,1082,1.477
168,494,1.863,1031,3.014
169,498,2.393,1063,2.505
170,503,1.858,1145,1.632
171,504,1.475,1269,1.916
172,503,1.445,1106,1.529
173,511,1.399,1073,1.559
174,513,1.474,1148,1.739
175,516,1.533,1220,1.699
176,520,1.698,1155,1.601
177,525,1.521,1233,1.6
178,524,1.609,1132,1.657
179,530,1.614,1175,1.64
180,529,2.257,1153,2.106
181,532,1.599,1173,1.708
182,537,1.612,1279,1.717
183,540,1.635,1236,1.669
184,542,2.121,1114,2.032
185,549,1.75,1270,1.798
186,548,1.66,1158,1.766
187,553,1.693,1214,1.798
188,556,2.076,1327,1.96
189,557,1.746,1230,1.843
190,560,1.718,1202,1.906
191,562,1.785,1256,1.856
192,565,2.553,1442,1.964
193,569,1.878,1264,1.987
194,573,1.817,1370,1.929
195,576,1.851,1284,2.469
196,577,1.896,1353,1.986
197,580,1.91,1400,2.011
198,585,1.96,1235,2.032
199,590,2.61,1437,2.106
200,592,1.908,1262,2.176
201,596,2,1320,2.075
202,598,2.064,1416,2.905
203,600,2.117,1318,2.164
204,600,2.053,1322,2.182
205,605,2.014,1369,2.502
206,607,2.081,1300,2.231
207,612,2.125,1366,2.236
208,616,2.099,1387,2.227
209,617,2.526,1317,2.322
210,620,2.145,1408,2.296
211,624,2.173,1312,2.363
212,628,2.733,1482,2.368
213,629,2.204,1309,2.287
214,634,2.475,1486,2.349
215,634,2.675,1436,2.475
216,638,2.321,1424,2.433
217,641,2.557,1567,2.696
218,646,2.457,1507,2.542
219,651,2.383,1426,2.523
220,650,2.305,1482,3.046
221,655,2.42,1501,2.514
222,659,2.433,1393,2.61
223,662,2.397,1639,3.537
224,665,2.428,1469,2.541
225,665,2.624,1522,2.68
226,669,3.081,1592,2.742
227,671,2.629,1788,2.654
228,677,2.531,1538,2.896
229,677,2.709,1403,2.741
230,680,2.626,1559,2.837
231,687,2.65,1571,3.189
232,685,2.693,1598,2.793
233,691,2.671,1857,2.897
234,696,4.008,1438,3.141
235,696,3.105,1526,2.936
236,699,2.796,1662,3.388
237,703,2.888,1549,2.944
238,706,2.815,1655,3.099
239,710,2.782,1576,2.962
240,709,2.839,1535,2.972
241,717,2.806,1626,3.055
242,717,2.886,1659,3.118
243,719,2.916,1595,3.589
244,722,2.919,1713,3.125
245,728,2.858,1620,3.258
246,730,3.456,1633,3.135
247,731,3.053,1612,3.257
248,734,3.688,1660,3.27
249,738,3.151,1591,3.39
250,741,3.887,1617,4.606
251,743,4.928,1610,3.896
252,747,4.639,1664,3.518
253,748,3.121,1618,3.394
254,754,3.906,1819,3.663
255,754,3.248,1610,3.417
256,760,3.182,1725,3.383
257,764,3.328,1752,3.467
258,764,3.598,1569,3.527
259,767,3.387,1733,3.49
260,770,5.053,1740,4.179
261,773,3.468,1863,3.8
262,776,3.493,1757,3.71
263,780,3.442,1707,3.927
264,786,3.478,1718,3.648
265,786,3.51,1769,4.006
266,789,3.388,1941,3.686
267,789,3.464,1737,4.167
268,797,3.485,1814,3.738
269,797,3.552,1889,4.161
270,799,3.569,1843,3.688
271,804,3.654,1859,7.21
272,803,6.911,1792,7.698
273,811,6.986,1728,7.662
274,811,7.019,1743,7.736
275,813,7.122,1760,7.652
276,822,7.578,1909,4.556
277,825,3.938,1784,4.097
278,827,4.277,1853,4.113
279,830,3.737,1872,4.161
280,827,7.395,1775,7.741
281,835,7.333,1842,8.051
282,831,4.313,1986,4.162
283,835,4.124,1789,4.348
284,840,4.415,1809,4.132
285,845,4.514,1888,4.502
286,850,4.057,1963,4.368
287,852,3.976,1831,4.147
288,853,3.985,2028,4.466
289,857,4.17,2091,4.409
290,858,4.501,1931,4.368
291,864,4.334,1892,4.645
292,865,4.284,1999,4.507
293,873,4.211,1986,4.882
294,868,4.157,1917,4.677
295,876,4.888,2017,4.658
296,879,4.274,2040,4.698
297,882,4.535,1968,4.621
298,882,4.496,1942,4.628
299,893,4.31,1837,4.696
300,889,4.399,1937,4.663
301,892,4.493,1959,4.865
302,894,4.461,1971,4.836
303,898,4.914,1945,4.784
304,899,4.581,1985,5.393
305,907,4.484,1982,4.673
306,911,5.048,2133,4.972
307,915,4.567,2178,5.272
308,915,4.668,2123,4.834
309,919,5.161,2129,4.937
310,924,4.574,1975,5.28
311,921,4.946,2001,4.941
312,928,5.014,2035,5.152
313,927,5.03,2188,5.41
314,934,4.878,2073,5.877
315,934,5.093,2002,5.056
316,937,5.868,2157,5.46
317,939,4.935,2022,6.439
318,949,4.977,2199,5.939
319,949,5.227,2237,5.422
320,955,6.305,2147,5.421
321,951,5.452,2226,5.935
322,955,5.214,2331,5.703
323,959,5.156,2243,5.725
324,961,5.634,2212,5.584
325,967,5.661,2099,5.799
326,971,5.315,2119,5.94
327,967,5.361,2163,5.697
328,971,5.386,2231,5.429
329,976,6.03,2197,5.759
330,981,5.588,2211,6.447
331,984,5.42,2296,5.692
332,986,5.606,2134,5.612
333,990,5.693,2171,5.772
334,993,5.542,2439,6.011
335,996,5.519,2491,5.919
336,996,5.444,2242,5.915
337,1002,5.616,2161,5.964
338,1005,5.799,2144,6.886
339,1007,5.739,2196,6.064
340,1012,5.71,2287,6.602
341,1014,5.911,2287,6.515
342,1015,5.831,2423,6.182
343,1018,5.814,2359,6.102
344,1023,5.903,2274,6.386
345,1023,6.065,2306,6.293
346,1031,5.801,2443,6.46
347,1032,6.028,2492,6.243
348,1037,6.131,2469,6.291
349,1040,6.135,2272,6.29
350,1040,6.18,2241,6.493
351,1040,6.329,2298,6.475
352,1048,6.136,2472,6.82
353,1044,6.259,2322,6.602
354,1053,6.283,2416,6.625
355,1056,6.283,2647,6.492
356,1061,6.254,2273,6.682
357,1060,6.271,2239,6.506
358,1058,6.605,2393,6.744
359,1070,6.367,2398,6.566
360,1071,6.635,2284,6.765
361,1072,6.435,2423,6.922
362,1074,6.559,2539,6.829
363,1082,6.67,2383,6.74
364,1083,6.922,2521,6.915
365,1084,6.665,2376,6.961
366,1088,6.644,2409,7.126
367,1092,6.771,2554,6.95
368,1097,6.81,2533,6.857
369,1103,6.651,2621,7.16
370,1098,6.827,2599,7.231
371,1103,7.018,2498,7.419
372,1107,7.05,2533,7.288
373,1111,7.181,2491,7.357
374,1112,7.142,2465,7.341
375,1114,7.133,2343,7.391
376,1118,7.007,2460,7.624
377,1123,7.236,2426,7.527
378,1121,7.182,2543,7.672
379,1130,7.137,2620,7.593
380,1133,7.158,2475,7.545
381,1133,7.511,2430,7.714
382,1137,7.318,2478,7.507
383,1136,7.493,2572,7.908
384,1136,7.395,2792,7.545
385,1145,7.397,2682,7.888
386,1149,7.586,2559,7.933
387,1152,7.373,2719,7.748
388,1153,7.947,2610,7.978
389,1157,7.786,2613,7.998
390,1158,7.615,2611,8.165
391,1161,8.171,2572,7.749
392,1165,7.837,2649,7.915
393,1165,7.577,2666,8.162
394,1174,8.017,2650,8.217
395,1179,7.762,2619,8.007
396,1178,7.842,2642,8.253
397,1181,7.963,2593,8.27
398,1186,7.822,2583,8.056
399,1190,7.764,2780,8.454
400,1190,7.842,2584,8.365
401,1193,7.888,2641,8.537
402,1194,8.181,2720,8.538
403,1199,8.343,2667,8.517
404,1201,8.13,2594,9.787
405,1208,9.818,2835,12.941
406,1208,8.078,2693,8.828
407,1209,8.693,2805,8.905
408,1216,10.281,2927,9.044
409,1212,8.495,2666,8.818
