Vertices,Comparisons(sparse),Duration(sparse),Comparisons(dense),Duration(dense)
2,2,0,2,0
3,5,0,5,0
4,6,0,8,0
5,13,0.001,15,0.001
6,13,0.001,13,0.001
7,17,0.001,20,0.001
8,23,0.002,26,0.002
9,21,0.004,34,0.003
10,35,0.004,48,0.004
11,27,0.005,42,0.005
12,35,0.006,52,0.007
13,42,0.007,62,0.008
14,54,0.008,66,0.009
15,38,0.008,68,0.008
16,45,0.009,79,0.011
17,58,0.019,73,0.029
18,79,0.019,90,0.013
19,64,0.013,81,0.015
20,57,0.015,102,0.016
21,68,0.017,120,0.018
22,77,0.018,104,0.02
23,78,0.02,110,0.024
24,98,0.023,120,0.027
25,87,0.025,132,0.027
26,92,0.027,160,0.029
27,112,0.029,132,0.032
28,105,0.031,153,0.035
29,90,0.036,176,0.039
30,130,0.037,184,0.041
31,150,0.039,208,0.043
32,135,0.042,167,0.045
33,150,0.045,169,0.052
34,160,0.05,210,0.055
35,160,0.053,195,0.059
36,145,0.054,218,0.059
37,165,0.059,216,0.066
38,135,0.058,231,0.066
39,155,0.056,199,0.059
40,223,0.056,248,0.061
41,167,0.066,223,0.065
42,199,0.062,241,0.068
43,178,0.066,250,0.071
44,183,0.07,254,0.073
45,223,0.08,229,0.078
46,187,0.075,281,0.08
47,195,0.082,274,0.086
48,241,0.085,310,0.088
49,213,0.086,303,0.099
50,208,0.091,313,0.095
51,281,0.09,323,0.101
52,194,0.096,322,0.103
53,219,0.095,295,0.104
54,228,0.116,351,0.127
55,193,0.117,362,0.129
56,259,0.111,335,0.121
57,267,0.117,378,0.143
58,248,0.14,368,0.147
59,275,0.127,405,0.132
60,269,0.132,376,0.144
61,270,0.135,375,0.151
62,312,0.156,351,0.169
63,235,0.152,410,0.153
64,269,0.152,360,0.16
65,346,0.147,454,0.165
66,326,0.152,382,0.165
67,279,0.167,425,0.208
68,337,0.186,425,0.208
69,358,0.187,450,0.203
70,274,0.176,439,0.191
71,351,0.178,501,0.188
72,316,0.183,502,0.216
73,376,0.199,514,0.202
74,313,0.19,455,0.206
75,411,0.205,461,0.214
76,402,0.209,497,0.228
77,337,0.207,491,0.227
78,352,0.216,469,0.236
79,345,0.23,481,0.239
80,398,0.228,473,0.316
81,371,0.267,495,0.263
82,379,0.248,579,0.27
83,411,0.269,492,0.295
84,384,0.269,548,0.274
85,456,0.259,552,0.272
86,381,0.279,606,0.29
87,455,0.277,553,0.287
88,376,0.266,541,0.286
89,415,0.287,617,0.35
90,535,0.293,567,0.333
91,408,0.546,516,0.374
92,411,0.32,612,0.326
93,415,0.316,572,0.343
94,454,0.379,586,0.404
95,433,0.358,656,0.36
96,382,0.33,557,0.353
97,432,0.383,663,0.369
98,463,0.334,681,0.361
99,434,0.356,622,0.376
100,442,0.383,661,0.39
101,526,0.498,593,0.424
102,543,0.362,766,0.514
103,458,0.443,663,0.494
104,505,0.436,684,0.464
105,631,0.484,726,0.457
106,533,0.42,718,0.46
107,612,0.465,745,0.497
108,473,0.483,768,0.459
109,650,0.408,689,0.479
110,538,0.784,706,0.522
111,511,0.444,746,0.529
112,498,0.459,707,0.489
113,637,0.459,809,0.479
114,541,0.445,776,0.503
115,536,0.472,753,0.578
116,516,0.527,723,0.872
117,619,0.795,782,1.015
118,536,0.921,816,1.013
119,582,0.981,759,1.021
120,645,1.072,818,0.777
121,524,0.548,828,0.63
122,627,0.617,821,0.642
123,677,0.613,771,0.747
124,684,0.62,774,0.605
125,716,0.579,804,0.581
126,757,0.555,854,0.598
127,551,0.604,813,0.626
128,608,0.577,838,0.64
129,584,0.584,845,0.756
130,648,0.753,885,0.718
131,689,1.053,786,0.878
132,594,0.609,830,0.65
133,646,0.738,929,0.682
134,760,0.639,924,0.686
135,663,0.753,839,0.675
136,645,0.65,872,0.757
